Zipcode,Total,White,Black,Asian,Multi,Other,Median_Income,Mean_Income
14614,1105,0.342986425,0.623529412,0,0,0.033484163,3906,6993
14615,15776,0.62747211,0.249873225,0.047603955,0.034292596,0.040758114,38620,48132
14616,28688,0.86321807,0.063197156,0.013245956,0.019415784,0.040923034,48975,60222
14617,23124,0.931283515,0.036801591,0.00973015,0.012627573,0.00955717,60650,74570
14618,22110,0.838760742,0.042288557,0.075440977,0.022026232,0.021483492,81902,116665
14619,14784,0.207454004,0.729572511,0.006966991,0.033955628,0.022050866,39494,47771
14620,26110,0.740712371,0.135924933,0.089391038,0.018690157,0.015281501,38554,50510
14621,33789,0.304359407,0.48438841,0.027405369,0.054396401,0.129450413,23735,33568
14622,12040,0.912624585,0.064368771,0.012624585,0.004900332,0.005481728,51875,65145
14623,25877,0.754762917,0.091587124,0.111566256,0.017274027,0.024809677,46149,53818
14624,36097,0.830844669,0.119843754,0.015430645,0.018727318,0.015153614,61136,71482
14625,10484,0.931514689,0.02022129,0.011255246,0.030427318,0.006581457,70114,96098
14626,29724,0.91138474,0.042423631,0.022338851,0.015442067,0.008410712,53944,69525
14627,2781,0.716289105,0.047824524,0.179791442,0.034160374,0.021934556,N/A,N/A
14701,40048,0.910132841,0.037405114,0.005093887,0.023446864,0.023921294,35997,47155
14706,6301,0.971591811,0.005078559,0.016505317,0.003174099,0.003650214,50647,62851
14707,289,1,0,0,0,0,27429,56267
14708,273,1,0,0,0,0,43333,55590
14709,1514,0.992073976,0,0.001321004,0.001981506,0.004623514,43173,49758
14710,3479,0.979879276,0,0,0.012072435,0.00804829,51156,62199
14711,1835,0.98746594,0.004359673,0,0.005449591,0.002724796,41000,45721
14712,3586,0.989960959,0.010039041,0,0,0,57931,72170
14714,572,0.958041958,0,0,0.008741259,0.033216783,40750,53447
14715,2763,0.991313789,0.003257329,0.001085776,0.004343105,0,45030,53655
14716,3040,0.777302632,0.140460526,0.004934211,0.044078947,0.033223684,35708,48891
14717,683,0.983894583,0,0,0,0.016105417,38333,44937
14718,2320,0.873275862,0.082758621,0.000431034,0.015086207,0.028448276,57813,62043
14719,3530,0.986685552,0.000849858,0,0.005949008,0.006515581,43036,52742
