"","camis","dba","boro","zipcode","cuisine_description","score","grade","rodent_list","roach_list","total.list","white.list","black.list","asian.list","multi.list","other.list","mean_income.list","median_income.list","cuisine_group_factor"
"97206","40979259","BAI SUSHI","QUEENS","11103","Japanese",7,"A",FALSE,FALSE,37745,0.772314214,0.027023447,0.128652802,0.026122665,0.045886872,69034,55129,"Asian"
"97268","40979852","L'ITALIANO TRATTORIA","QUEENS","11364","Italian",7,"A",FALSE,FALSE,34751,0.443757014,0.017093033,0.486604702,0.023682772,0.028862479,86027,72909,"Italian"
"97297","40980062","TOKYO SUSHI JAPANESE RESTAURANT","STATEN ISLAND","10314","Japanese",13,"A",FALSE,FALSE,87276,0.774840735,0.042611944,0.13909895,0.011721435,0.031726935,91434,77242,"Asian"
"97358","40980377","LITTLE TONINO'S PIZZA & CAFE","BROOKLYN","11218","Pizza",13,"A",FALSE,FALSE,74758,0.57163113,0.091575484,0.173961315,0.025107681,0.137724391,70046,52445,"Pizza"
"97431","40980566","SUBWAY","QUEENS","11367","Sandwiches",11,"A",FALSE,FALSE,41022,0.565355175,0.094047097,0.226220077,0.036516991,0.07786066,73125,56608,"Sandwiches"
"97512","40980970","DYNASTY RESTAURANT","QUEENS","11354","Chinese",12,"A",FALSE,TRUE,56258,0.265046749,0.037363575,0.580664083,0.0338263,0.083099293,63705,46566,"Chinese"
"97568","40981913","SEBA SEBA","QUEENS","11372","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7,"A",FALSE,FALSE,63320,0.615240051,0.022109918,0.18780796,0.031285534,0.143556538,62316,48683,"Latin/Spanish"
"97657","40983620","AURORA","BROOKLYN","11249","Italian",5,"A",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Italian"
"97685","40983698","YUCA BAR & RESTAURANT","MANHATTAN","10009","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,"A",FALSE,FALSE,62810,0.597675529,0.071580958,0.152682694,0.032733641,0.145327177,85508,59929,"Latin/Spanish"
"97768","40984001","LABADEE MANOIR","QUEENS","11428","Caribbean",11,"A",FALSE,FALSE,20307,0.216132368,0.225685724,0.294036539,0.091495543,0.172649825,81239,69330,"Latin/Spanish"
"97989","40984272","GUADALAJARA DE NOCHE","QUEENS","11372","Mexican",12,"A",FALSE,FALSE,63320,0.615240051,0.022109918,0.18780796,0.031285534,0.143556538,62316,48683,"Latin/Spanish"
"98042","40985809","NO. 1 CHINESE RESTAURANT","BROOKLYN","11214","Chinese",12,"A",TRUE,FALSE,83156,0.570229448,0.010378085,0.339530521,0.010101496,0.06976045,59810,43398,"Chinese"
"98108","40986169","FANCY FOOD DELI","QUEENS","11377","Delicatessen",8,"A",FALSE,FALSE,86316,0.469078734,0.030376755,0.364891793,0.026877983,0.108774735,63139,49886,"Sandwiches"
"98184","40986347","VESUVIOS PIZZA","BROOKLYN","11229","Pizza",4,"A",FALSE,FALSE,81030,0.723300012,0.041219301,0.203665309,0.010267802,0.021547575,67981,51725,"Pizza"
"98224","40986939","WASABI SUSHI","BROOKLYN","11214","Japanese",7,"A",FALSE,FALSE,83156,0.570229448,0.010378085,0.339530521,0.010101496,0.06976045,59810,43398,"Asian"
"98336","40987128","AMBROSIA","MANHATTAN","10036","Korean",12,"A",FALSE,FALSE,23132,0.662848003,0.07980287,0.166565796,0.034713816,0.056069514,106275,66599,"Asian"
"98377","40987257","DELIZIA  RISTORANTE","MANHATTAN","10021","Italian",8,"A",FALSE,FALSE,40862,0.885003181,0.019235476,0.074543586,0.013729137,0.00748862,208019,107907,"Italian"
"98400","40987470","GROTTA AZZURRA","MANHATTAN","10013","Italian",11,"A",FALSE,FALSE,26065,0.561212354,0.036063687,0.342106273,0.04331479,0.017302897,207336,83725,"Italian"
